ID,Total Tasks,Task Completion Rate,Error Rate,Attendance,Productivity Score
419,10,70,60,20,40
420,10,60,80,20,41
421,40,70,70,80,63
422,10,50,30,80,40
423,20,90,80,60,61
424,40,60,80,70,60
425,20,70,10,20,33
426,10,70,60,50,46
427,80,90,70,70,79
428,80,10,30,90,51
429,50,20,10,60,35
430,60,80,60,10,56
431,50,90,40,40,58
432,90,40,30,20,49
433,90,20,50,70,57
434,10,40,90,70,47
435,30,10,60,40,32
436,70,50,70,50,60
437,10,40,40,50,33
438,30,30,40,50,36
439,70,20,50,60,49
440,90,30,50,40,54
441,10,30,70,80,42
442,80,20,50,80,56
443,70,50,90,60,66
444,90,70,20,90,70
445,80,60,80,90,76
446,10,30,70,70,40
447,90,60,10,10,49
448,10,80,70,90,59
449,80,70,70,10,61
450,80,60,50,20,56
451,70,30,20,80,50
452,70,90,40,20,60
453,40,50,90,70,59
454,40,30,40,10,31
455,60,50,90,20,55
456,30,90,90,90,72
457,60,20,80,10,42
458,10,50,50,40,36
459,10,40,10,50,27
460,70,50,20,40,48
461,50,70,90,80,70
462,30,10,90,60,42
463,70,10,90,50,52
464,70,30,60,40,50
465,60,30,90,60,57
466,30,40,90,80,55
467,60,10,30,70,41
468,20,80,30,50,46
469,80,70,90,20,67
470,30,50,40,20,36
471,70,90,50,90,76
472,70,90,40,60,68
473,40,40,70,80,54
474,60,10,40,40,37
475,90,70,80,60,76
476,30,10,20,60,28
477,20,90,90,40,59
478,20,20,30,40,26
479,90,40,80,10,57
480,40,90,20,30,49
481,40,30,90,50,49
482,80,40,30,20,46
483,40,90,70,70,67
484,30,10,10,20,18
485,40,30,30,50,37
486,90,90,40,90,80
487,30,90,60,40,56
488,30,90,20,70,54
489,30,10,10,20,18
490,60,70,90,80,73
491,90,30,70,80,66
492,60,50,10,90,53
493,30,10,90,70,44
494,20,50,20,80,41
495,20,30,20,50,29
496,10,80,50,10,39
497,50,50,20,30,40
498,70,80,10,70,61
499,80,90,30,30,63
500,50,30,30,70,44
501,40,80,10,40,46
502,50,90,50,40,60
503,50,20,60,40,41
504,80,90,50,80,77
505,30,70,70,30,50
506,60,30,40,20,39
507,50,80,30,20,49
508,30,30,20,30,28
509,90,90,20,10,60
510,10,10,10,40,16
511,70,70,10,90,62
512,50,50,90,80,64
513,40,50,70,90,59
514,90,70,60,80,76
515,30,30,20,40,30
516,90,90,30,30,66
517,40,90,10,70,55
518,40,50,10,50,39
519,10,70,80,90,58
520,40,10,40,80,39
521,80,80,60,60,72
522,70,40,90,10,53
523,10,20,20,70,27
524,10,80,90,40,53
525,40,20,90,40,44
526,90,40,90,20,61
527,40,20,20,90,40
528,80,20,60,50,52
529,40,60,90,60,60
530,80,20,40,60,50
531,60,10,10,10,25
532,50,80,10,30,47
533,20,10,40,70,31
534,20,20,30,30,24
535,90,80,70,10,67
536,40,40,40,30,38
537,60,60,90,90,72
538,50,30,80,60,52
539,80,40,90,70,68
540,50,70,50,20,50
541,40,60,70,80,60
542,40,30,10,40,31
543,70,60,80,10,57
544,20,40,70,60,44
545,90,50,20,60,58
546,20,50,10,80,39
547,60,90,30,60,63
548,90,60,70,40,67
549,10,70,80,30,46
550,30,80,90,60,63
551,30,60,10,10,31
552,30,80,10,30,41
553,10,10,20,50,20
554,70,60,70,70,67
555,30,50,30,60,42
556,80,50,10,40,49
557,40,80,10,70,52
558,30,60,90,70,59
559,20,80,70,90,62
560,90,70,80,50,74
561,20,30,90,30,39
562,40,90,40,90,65
563,60,60,50,90,64
564,90,10,30,80,52
565,10,90,40,20,42
566,80,20,80,50,56
567,40,80,50,40,54
568,30,20,20,50,29
569,40,30,60,10,35
570,80,70,70,20,63
571,50,30,40,30,38
572,60,10,80,90,55
573,90,80,70,40,73
574,20,20,60,70,38
575,30,20,20,40,27
576,30,10,30,10,20
577,30,60,60,30,45
578,10,60,50,70,45
579,90,50,80,50,68
580,80,30,20,60,49
581,70,50,40,50,54
582,10,50,50,80,44
583,60,60,70,80,66
584,30,40,50,20,35
585,90,50,40,10,52
586,90,50,90,80,76
587,90,80,80,60,79
588,10,10,50,80,32
589,20,50,70,20,39
590,40,20,80,90,52
591,70,50,20,40,48
592,90,70,70,40,70
593,10,50,20,60,34
594,50,70,10,10,40
595,20,40,80,10,36
596,70,40,90,90,69
597,40,60,80,90,64
598,20,50,30,40,35
599,70,60,20,30,49
600,20,70,40,10,37
601,30,90,60,50,58
602,40,70,10,40,43
603,70,90,10,60,62
604,40,60,10,70,46
605,50,20,10,50,33
606,40,80,20,70,54
607,70,50,90,20,58
608,20,30,70,30,35
609,10,40,60,90,45
610,80,30,40,60,53
611,20,60,30,70,44
612,50,90,70,50,66
613,70,30,60,10,44
614,10,20,60,70,35
615,20,20,90,60,42
616,10,60,90,20,43
617,20,70,20,60,43
618,40,20,80,70,48
619,20,80,30,20,40
620,40,50,10,20,33
621,70,30,40,50,48
622,80,30,30,40,47
623,50,40,90,80,61
624,20,80,90,10,50
625,70,80,70,70,73
626,10,90,20,50,44
627,20,50,70,20,39
628,70,50,10,80,54
629,40,10,30,10,23
630,80,40,80,50,62
631,30,90,40,40,52
632,50,30,60,70,50
633,10,70,80,60,52
634,90,60,90,10,65
635,60,60,80,20,56
636,60,40,70,90,62
637,90,10,80,70,60
638,60,70,80,10,57
639,10,90,10,40,40
640,60,90,70,60,71
641,90,40,80,30,61
642,50,90,80,90,76
643,40,50,40,70,49
644,50,20,50,20,35
645,10,60,50,80,47
646,20,10,80,90,43
647,50,60,50,90,61
648,50,60,40,10,43
649,40,80,90,60,66
650,90,30,60,40,56
651,80,70,80,50,71
652,80,50,90,10,59
653,80,60,80,70,72
654,10,30,70,60,38
655,60,80,10,60,56
656,20,90,20,30,43
657,20,30,40,70,37
658,90,80,30,80,73
659,10,60,90,30,45
660,30,50,80,40,48
661,20,60,40,60,44
662,10,20,10,90,29
663,80,70,50,60,67
664,20,40,60,50,40
665,90,50,70,10,58
666,30,40,60,10,35
667,30,30,60,60,42
668,90,30,60,30,54
669,90,70,90,30,72
670,40,40,60,80,52
671,90,20,60,50,55
672,20,70,80,30,49
673,80,40,50,20,50
674,70,80,60,10,59
675,20,10,10,60,23
676,60,70,40,10,49
677,80,30,20,50,47
678,20,20,20,40,24
679,20,80,60,50,52
680,50,80,20,40,51
681,80,90,10,10,55
682,20,60,10,20,30
683,20,40,40,50,36
684,90,30,70,90,68
685,60,40,70,10,46
686,70,30,80,30,52
687,30,80,80,70,63
688,90,20,80,90,67
689,80,30,90,10,53
690,10,70,10,10,28
691,90,30,80,70,66
692,80,70,10,20,51
693,50,80,40,30,53
694,20,20,20,90,34
695,30,50,10,20,30
696,40,10,10,20,21
697,30,80,30,40,47
698,20,10,50,60,31
699,40,40,30,80,46
700,40,80,30,10,44
701,70,60,20,80,59
702,80,10,10,90,47
703,90,50,60,90,72
704,40,90,60,70,65
705,80,40,70,30,56
706,70,40,40,20,45
707,80,90,50,30,67
708,10,30,30,40,26
709,80,90,70,50,75
710,70,40,30,80,55
711,90,80,60,90,81
712,40,50,60,30,45
713,40,30,10,70,37
714,20,40,70,70,46
715,80,90,60,90,81
716,70,90,20,70,66
717,70,80,80,90,79
718,10,60,30,80,43
719,40,10,50,70,39
720,20,10,60,90,39
721,50,80,40,70,61
722,40,80,90,40,62
723,50,60,70,70,61
724,30,90,40,60,56
725,20,50,70,70,49
726,20,80,10,50,42
727,80,80,30,50,64
728,40,60,50,90,58
729,10,40,90,20,37
730,80,50,20,80,59
731,90,50,10,80,60
732,10,30,30,60,30
733,70,20,70,40,49
734,20,90,20,50,47
735,90,50,30,60,60
736,30,20,90,10,35
737,70,50,10,10,40
738,40,80,20,90,58
739,50,60,90,80,67
740,60,80,90,20,64
741,70,20,20,80,47
742,40,40,30,10,32
743,30,30,60,60,42
744,80,90,20,20,59
745,10,80,50,30,43
746,90,50,80,10,60
747,50,50,10,20,36
748,10,10,10,90,26
749,90,20,30,10,41
750,30,90,80,20,56
751,80,80,60,50,70
752,50,10,30,20,28
753,50,10,20,30,28
754,80,80,40,60,68
755,20,70,90,40,53
756,80,20,60,60,54
757,90,70,60,90,78
758,10,60,30,10,29
759,70,90,60,90,78
760,10,10,80,30,28
761,50,40,80,20,47
762,60,70,40,30,53
763,40,30,80,30,43
764,20,70,50,30,43
765,10,80,50,60,49
766,20,40,10,90,38
767,60,90,70,10,61
768,70,70,80,80,74
769,20,90,60,70,59
770,10,50,90,80,52
771,70,10,30,50,40
772,60,90,80,80,77
773,30,40,80,40,45
774,50,20,10,50,33
775,10,40,30,10,23
776,90,10,30,70,50
777,30,60,80,90,61
778,50,70,80,50,62
779,40,30,10,20,27
780,30,80,60,80,61
781,90,20,60,30,51
782,30,30,50,80,44
783,90,80,90,10,71
784,50,90,70,30,62
785,40,80,90,50,64
786,80,10,70,70,55
787,90,90,50,40,72
788,90,20,50,60,55
789,30,40,60,30,39
790,80,20,90,40,56
791,50,60,10,10,37
792,20,10,10,80,27
793,40,50,50,10,39
794,20,40,20,20,26
795,30,40,50,20,35
796,40,50,40,80,51
797,30,90,50,30,52
798,50,70,70,60,62
799,60,40,30,60,48
800,80,30,50,60,55
801,60,20,10,10,28
802,90,40,30,30,51
803,40,40,20,80,44
804,80,10,30,50,43
805,20,50,40,90,47
806,50,60,40,10,43
807,40,60,50,70,54
808,70,20,30,10,35
809,50,90,90,50,70
810,60,80,10,70,58
811,20,40,80,60,46
812,80,70,50,60,67
813,60,30,60,50,49
814,50,10,60,50,40
815,80,30,20,30,43
816,30,80,50,90,61
817,60,90,80,50,71
818,10,20,30,70,29
819,50,70,30,50,52
820,30,70,40,50,48
821,90,10,30,90,54
822,70,20,50,40,45
823,90,80,40,60,71
824,10,10,30,50,22
825,70,90,50,30,64
826,30,40,40,80,45
827,40,50,70,70,55
828,90,80,10,30,59
829,20,20,30,30,24
830,80,20,40,50,48
831,80,70,60,60,69
832,30,40,30,20,31
833,50,20,10,10,25
834,20,50,40,50,39
835,70,10,10,10,28
836,20,40,30,40,32
837,50,90,20,10,48
838,70,40,10,40,43
839,10,90,30,30,42
840,40,50,90,20,49
841,20,50,70,80,51
842,60,50,70,80,63
843,10,10,80,40,30
844,70,40,10,90,53
845,90,10,10,50,42
846,50,80,10,30,47
847,30,80,40,60,53
848,30,90,80,40,60
849,20,10,90,80,43
850,40,30,90,60,51
851,10,10,40,10,16
852,20,80,70,20,48
853,60,80,80,50,68
854,30,20,50,70,39
855,70,40,10,30,41
856,40,80,70,70,64
857,50,90,20,70,60
858,70,60,50,20,53
859,80,50,40,20,51
860,50,50,30,40,44
861,50,70,40,30,50
862,30,50,70,20,42
863,60,10,50,10,33
864,60,30,50,90,55
865,40,60,90,20,52
866,80,30,90,60,63
867,20,10,10,30,17
868,80,20,20,70,48
869,40,50,10,30,35
870,30,30,50,60,40
871,40,60,30,30,42
872,30,80,50,20,47
873,80,40,80,30,58
874,90,90,50,20,68
875,60,50,80,40,57
876,40,80,20,20,44
877,90,70,70,40,70
878,10,80,60,60,51
879,80,80,30,80,70
880,90,60,90,60,75
881,80,20,80,70,60
882,30,20,80,50,41
883,70,30,80,60,58
884,40,80,70,60,62
885,30,40,80,70,51
886,90,60,80,80,77
887,40,80,30,10,44
888,10,50,70,10,34
889,40,10,10,20,21
890,60,10,70,90,53
891,90,70,20,30,58
892,30,80,10,60,47
893,80,10,50,30,43
894,10,80,20,20,35
895,90,50,50,70,66
896,40,50,40,20,39
897,90,40,30,40,53
898,20,80,70,60,56
899,20,50,50,50,41
900,70,70,20,70,60
901,30,60,70,60,53
902,10,60,80,90,55
903,40,30,80,30,43
904,70,60,40,40,55
905,40,80,90,60,66
906,70,70,80,10,60
907,20,10,10,30,17
908,20,30,20,50,29
909,10,80,30,70,47
910,30,40,70,20,39
911,50,70,60,40,56
912,70,40,60,20,49
913,20,70,50,60,49
914,50,60,30,60,51
915,70,40,60,60,57
916,80,30,90,30,57
917,60,30,30,10,35
918,40,70,30,90,57
919,80,50,10,50,51
920,80,10,40,20,39
921,40,30,40,10,31
922,20,50,50,90,49
923,20,40,80,30,40
924,50,20,80,50,47
925,60,70,80,90,73
926,90,60,50,30,61
927,10,20,30,60,27
928,20,60,60,40,44
929,80,90,40,80,75
930,10,80,80,80,59
931,70,10,90,50,52
932,50,10,70,50,42
933,10,30,50,50,32
934,90,20,80,80,65
935,90,90,60,70,80
936,80,80,30,30,60
937,30,30,20,30,28
938,80,80,10,40,58
939,90,10,80,50,56
940,70,10,50,40,42
941,40,10,30,80,37
942,80,10,90,80,61
943,60,30,40,30,41
944,50,80,30,10,47
945,80,20,90,30,54
946,40,60,10,30,38
947,70,40,80,40,57
948,90,90,10,20,60
949,90,80,90,30,75
950,90,20,70,50,57
951,30,60,90,70,59
952,90,60,70,70,73
953,70,60,30,10,47
954,70,50,60,30,54
955,90,10,40,10,40
956,10,30,20,90,34
957,40,10,60,40,35
958,70,20,90,90,63
959,10,20,30,50,25
960,90,40,40,80,63
961,50,10,70,70,46
962,30,70,70,50,54
963,80,40,10,20,42
964,20,50,50,80,47
965,20,70,10,40,37
966,40,50,10,40,37
967,30,50,20,70,42
968,80,60,90,80,76
969,40,70,60,40,53
970,10,80,40,30,41
971,50,50,90,50,58
972,80,50,50,90,67
973,80,20,10,20,36
974,10,20,70,70,37
975,80,70,20,20,53
976,80,30,60,80,61
977,60,30,60,40,47
978,60,30,30,20,37
979,30,30,70,20,36
980,10,60,40,50,39
981,70,80,60,50,67
982,40,10,80,90,49
983,90,30,30,30,48
984,50,70,60,90,66
985,20,20,40,50,30
986,50,10,10,70,34
987,30,50,50,30,40
988,60,30,30,30,39
989,70,30,60,50,52
990,40,90,30,80,61
991,10,80,80,20,47
992,40,90,80,40,63
993,70,20,10,90,47
994,30,40,20,40,33
995,30,10,60,80,40
996,90,30,90,10,56
997,70,10,60,70,50
998,50,10,40,20,30
999,20,20,50,40,30
1000,70,30,80,30,52
1001,20,60,40,10,34
1002,60,90,80,80,77
1003,10,80,20,50,41
1004,60,80,20,50,56
1005,20,10,30,80,31
1006,20,60,40,20,36
1007,80,50,80,10,57
1008,50,80,80,80,71
1009,40,40,60,60,48
1010,80,10,40,80,51
1011,30,70,60,20,46
1012,30,10,50,20,26
1013,70,50,50,40,54
1014,80,30,50,10,45
1015,70,50,80,90,70
1016,60,70,30,70,59
1017,30,40,70,10,37
1018,60,70,50,60,61
1019,90,10,50,40,48
1020,60,70,20,10,45
1021,30,80,80,90,67
1022,30,70,10,50,42
1023,70,90,50,90,76
1024,30,80,90,70,65
1025,70,30,50,10,42
1026,20,40,40,60,38
1027,10,90,90,10,50
1028,70,40,30,50,49
1029,70,10,80,70,54
1030,10,50,40,30,32
1031,30,50,70,80,54
1032,90,50,90,70,74
1033,70,60,20,60,55
1034,40,80,50,20,50
1035,90,80,30,60,69
1036,90,40,40,40,55
1037,20,50,50,90,49
1038,70,20,40,90,53
1039,30,50,90,70,56
1040,10,70,10,20,30
1041,90,10,90,10,50
1042,90,50,70,20,60
1043,90,10,20,80,50
1044,90,20,20,30,43
1045,80,30,30,30,45
1046,90,30,40,60,56
1047,40,30,50,80,47
1048,70,40,40,80,57
1049,70,50,60,30,54
1050,70,10,50,20,38
1051,80,50,70,90,71
1052,10,10,10,80,24
1053,70,10,90,10,44
1054,90,10,30,30,42
1055,30,20,60,90,45
1056,50,80,40,70,61
1057,70,90,10,90,68
1058,40,30,40,80,45
1059,50,50,40,80,54
1060,20,70,40,40,43
1061,80,20,60,30,48
1062,50,20,40,30,35
1063,30,20,20,30,25
1064,90,50,70,30,62
1065,60,20,10,50,36
1066,60,50,70,60,59
1067,30,80,60,40,53
1068,30,40,90,80,55
1069,30,40,40,80,45
1070,50,30,30,40,38
1071,20,80,10,30,38
1072,60,80,10,30,50
1073,70,60,10,80,57
1074,30,60,60,90,57
1075,80,40,10,60,50
1076,40,30,50,30,37
1077,80,30,30,60,51
1078,60,50,40,90,59
1079,50,80,40,90,65
1080,80,40,10,80,54
1081,60,80,30,40,56
1082,80,20,60,80,58
1083,90,40,50,60,61
1084,60,80,50,10,54
1085,10,90,40,40,46
1086,10,30,20,70,30
1087,90,40,30,90,63
1088,10,70,20,20,32
1089,60,80,80,10,60
1090,30,20,10,40,25
1091,30,10,40,50,30
1092,10,90,40,40,46
1093,40,20,30,70,38
1094,20,70,10,40,37
1095,90,20,30,40,47
1096,30,40,60,60,45
1097,70,80,80,60,73
1098,40,40,80,80,56
1099,20,40,30,10,26
1100,70,80,90,30,69
1101,20,10,40,40,25
1102,40,70,60,80,61
1103,30,50,10,40,34
1104,20,30,50,50,35
1105,80,50,20,30,49
1106,40,10,40,50,33
1107,60,30,70,30,47
1108,80,20,50,40,48
1109,70,10,10,30,32
1110,20,10,80,30,31
1111,80,30,10,60,47
1112,50,10,60,70,44
1113,50,10,60,80,46
1114,20,40,70,70,46
1115,80,20,70,30,50
1116,20,70,10,60,41
1117,80,40,10,90,56
1118,80,20,60,90,60
1119,60,20,20,50,38
1120,50,50,80,10,48
1121,50,30,70,70,52
1122,20,30,40,50,33
1123,20,10,10,80,27
1124,50,90,40,30,56
1125,70,90,90,40,74
1126,20,90,50,10,45
1127,40,10,70,30,35
1128,30,40,60,40,41
1129,20,90,90,10,53
1130,40,50,50,90,55
1131,50,40,80,40,51
1132,10,30,50,90,40
1133,80,40,40,20,48
1134,30,60,60,20,43
1135,80,20,40,40,46
1136,30,60,40,30,41
1137,50,50,90,90,66
1138,80,50,50,40,57
1139,20,90,60,10,47
1140,50,40,10,80,45
1141,30,60,20,90,49
1142,30,10,60,40,32
1143,30,90,10,50,48
1144,70,60,70,20,57
1145,70,90,70,10,64
1146,60,10,70,70,49
1147,20,90,40,70,55
1148,30,30,80,10,36
